Name,Color 1,Color 2,Color 3,Color 4,Color 5,Color 6
Antique Rose,#b1365b,#ffffff,#98dcff,#057ee6,#362c5d,#ffffff
Pomegranate on Print,#d0c3f1,#ab1d79,#4e2780,#272030,#efebe2,#ef94ca
Crimson and Blues,#1b4a56,#ffffff,#ff2768,#81c3c9,#4a6f73,#ffffff
Berry Jar,#7fe5f0,#4b8c91,#ffffff,#f8716b,#b13b3c,#ffffff
Grained Memories,#042039,#f5f5e9,#266d82,#987776,#4a3d48,#f5f5e9
Tennis Swing,#7de19a,#0a4c86,#eeffff,#1d3b58,#99eeff,#eeffff
Lazy Warm Afternoon,#2a383f,#fcf9da,#db636f,#bab2a7,#2a383f,#fcf9da
Secret Romance,#f85646,#ffd88a,#32302e,#32302e,#fffbe2,#e39751
Crack of Dawn,#137aa8,#aad4e6,#022136,#f3952f,#022136,#ffffff
Much Needed Break,#00a5e9,#3e4560,#ddf4ff,#e7edeb,#9a9c8f,#3e4560
In the Chic,#0ed6d0,#27343e,#fdfce9,#27343e,#0ed6d0,#fdfce9
Winter Warmth,#3de0d2,#166177,#effffe,#f8722d,#612734,#effffe
Colorful Powder Cracks,#5ab8c2,#211f60,#fcfbf1,#ff68ab,#211f60,#fcfbf1
Hot Chili Peppers,#7dbff8,#3b3931,#1b4b9d,#f4382d,#3b3931,#fffff0
Bushels of Berries,#c3e3bb,#302c1e,#4b664a,#f8554e,#eefcf7,#302c1e
Soft as Feathers,#3b76c4,#0f1c37,#f5fff9,#c8d9ee,#01111d,#3b76c4
Worth the Wait,#efefda,#1d434e,#970c10,#4eb6b0,#efefda,#1d434e
From the Vineyard,#f3f4f0,#000000,#a7adad,#4d0011,#c2858c,#a7adad
Subway Punk,#dddddb,#585853,#9a719d,#191e21,#d2dce0,#9a719d
Lime and Mint,#d5e7f1,#0a191f,#329ac6,#9ac026,#ffffff,#f1e86d
Fancy Exteriors,#57c2ef,#131c3a,#fbfff6,#f7d36a,#4a73a8,#131c3a
Sandbox Textures,#92c7f0,#f8f8ee,#4f3d20,#b9df5b,#20170b,#f8f8ee
Raspberry Treat,#022135,#7bb7e0,#dde9f1,#de0f3f,#560216,#dde9f1
Jazz With Class,#231f1d,#ffffff,#758cb4,#ac203d,#ffffff,#abcccd
Sound the Alarm,#bdbaae,#212f3c,#532127,#cb3629,#532127,#ffffff
At the Brim,#a5cfe3,#00221c,#028476,#4e7a51,#e7f6fc,#00221c
Hallowâ€™s Treats,#ebf0f2,#251e20,#f79630,#603a70,#fad480,#ebf0f2
Feathered Fellow,#1c2529,#fdd05a,#e6dcca,#77a290,#284b70,#e6dcca
In Outer Space,#272f40,#fdfdfd,#a731c2,#fdfdfd,#a731c2,#425950